Name,Overview URL
US Army,"https://www.glassdoor.com/Overview/Working-at-US-Army-EI_IE41322.11,18.htm"
Mattel,"https://www.glassdoor.com/Overview/Working-at-Mattel-EI_IE428.11,17.htm"
Northwestern Mutual,"https://www.glassdoor.com/Overview/Working-at-Northwestern-Mutual-EI_IE2919.11,30.htm"
Toyota North America,"https://www.glassdoor.com/Overview/Working-at-Toyota-North-America-EI_IE3544.11,31.htm"
Agilent Technologies,"https://www.glassdoor.com/Overview/Working-at-Agilent-Technologies-EI_IE9711.11,31.htm"
Ericsson-Worldwide,"https://www.glassdoor.com/Overview/Working-at-Ericsson-Worldwide-EI_IE3472.11,29.htm"
MINDBODY,"https://www.glassdoor.com/Overview/Working-at-MINDBODY-EI_IE319289.11,19.htm"
Airbnb,"https://www.glassdoor.com/Overview/Working-at-Airbnb-EI_IE391850.11,17.htm"
Sony Electronics,"https://www.glassdoor.com/Overview/Working-at-Sony-Electronics-EI_IE19973.11,27.htm"
Goodwill,"https://www.glassdoor.com/Overview/Working-at-Goodwill-EI_IE2802.11,19.htm"
United Airlines,"https://www.glassdoor.com/Overview/Working-at-United-Airlines-EI_IE683.11,26.htm"
Houzz,"https://www.glassdoor.com/Overview/Working-at-Houzz-EI_IE716331.11,16.htm"
Disneyland Resort,"https://www.glassdoor.com/Overview/Working-at-Disneyland-Resort-EI_IE711568.11,28.htm"
State Farm,"https://www.glassdoor.com/Overview/Working-at-State-Farm-EI_IE2990.11,21.htm"
Scripps Health,"https://www.glassdoor.com/Overview/Working-at-Scripps-Health-EI_IE4664.11,25.htm"
Citrix,"https://www.glassdoor.com/Overview/Working-at-Citrix-EI_IE5432.11,17.htm"
Molina Healthcare,"https://www.glassdoor.com/Overview/Working-at-Molina-Healthcare-EI_IE15828.11,28.htm"
PepsiCo,"https://www.glassdoor.com/Overview/Working-at-PepsiCo-EI_IE522.11,18.htm"
University of California,"https://www.glassdoor.com/Overview/Working-at-University-of-California-EI_IE3015.11,35.htm"
Nokia,https://www.glassdoor.com/nokia
Barnes & Noble,"https://www.glassdoor.com/Overview/Working-at-Barnes-and-Noble-EI_IE2439.11,27.htm"
BCBG,"https://www.glassdoor.com/Overview/Working-at-BCBG-EI_IE8719.11,15.htm"
Panera Bread,"https://www.glassdoor.com/Overview/Working-at-Panera-Bread-EI_IE1493.11,23.htm"
Sharp HealthCare,"https://www.glassdoor.com/Overview/Working-at-Sharp-HealthCare-EI_IE19168.11,27.htm"
Cadence Design Systems,"https://www.glassdoor.com/Overview/Working-at-Cadence-Design-Systems-EI_IE1217.11,33.htm"
Cedars-Sinai Medical Center,"https://www.glassdoor.com/Overview/Working-at-Cedars-Sinai-Medical-Center-EI_IE18389.11,38.htm"
Michaels,"https://www.glassdoor.com/Overview/Working-at-Michaels-EI_IE945.11,19.htm"
Allergan,"https://www.glassdoor.com/Overview/Working-at-Allergan-EI_IE27.11,19.htm"
Banana Republic,"https://www.glassdoor.com/Overview/Working-at-Banana-Republic-EI_IE23057.11,26.htm"
Bloomingdale's,"https://www.glassdoor.com/Overview/Working-at-Bloomingdale-s-EI_IE14465.11,25.htm"
Rite Aid,"https://www.glassdoor.com/Overview/Working-at-Rite-Aid-EI_IE565.11,19.htm"
LendingClub,"https://www.glassdoor.com/Overview/Working-at-LendingClub-EI_IE349061.11,22.htm"
Hollister Co.,"https://www.glassdoor.com/Overview/Working-at-Hollister-Co-EI_IE466037.11,23.htm"
Maxim Integrated,"https://www.glassdoor.com/Overview/Working-at-Maxim-Integrated-EI_IE1624.11,27.htm"
SanDisk,"https://www.glassdoor.com/Overview/Working-at-SanDisk-EI_IE4479.11,18.htm"
Lawrence Berkeley Lab,"https://www.glassdoor.com/Overview/Working-at-Lawrence-Berkeley-Lab-EI_IE35238.11,32.htm"
