Name,Industry,Overview URL,Salary URL,Benefits URL
IGN Entertainment,Video Games,"https://www.glassdoor.com/Overview/Working-at-IGN-Entertainment-EI_IE9852.11,28.htm",https://www.glassdoor.com/Salary/IGN-Entertainment-Salaries-E9852.htm,"https://www.glassdoor.com/Benefits/IGN-Entertainment-US-Benefits-EI_IE9852.0,17_IL.18,20_IN1.htm"
Nitro,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Nitro-EI_IE402100.11,16.htm",https://www.glassdoor.com/Salary/Nitro-Salaries-E402100.htm,"https://www.glassdoor.com/Benefits/Nitro-US-Benefits-EI_IE402100.0,5_IL.6,8_IN1.htm"
TouchCommerce,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-TouchCommerce-EI_IE376390.11,24.htm",https://www.glassdoor.com/Salary/TouchCommerce-Salaries-E376390.htm,"https://www.glassdoor.com/Benefits/TouchCommerce-US-Benefits-EI_IE376390.0,13_IL.14,16_IN1.htm"
Entelo,Internet,"https://www.glassdoor.com/Overview/Working-at-Entelo-EI_IE784241.11,17.htm",https://www.glassdoor.com/Salary/Entelo-Salaries-E784241.htm,"https://www.glassdoor.com/Benefits/Entelo-US-Benefits-EI_IE784241.0,6_IL.7,9_IN1.htm"
GlobalLogic,IT Services,"https://www.glassdoor.com/Overview/Working-at-GlobalLogic-EI_IE23009.11,22.htm",https://www.glassdoor.com/Salary/GlobalLogic-Salaries-E23009.htm,"https://www.glassdoor.com/Benefits/GlobalLogic-US-Benefits-EI_IE23009.0,11_IL.12,14_IN1.htm"
EPAM,IT Services,"https://www.glassdoor.com/Overview/Working-at-EPAM-EI_IE15544.11,15.htm",https://www.glassdoor.com/Salary/EPAM-Salaries-E15544.htm,"https://www.glassdoor.com/Benefits/EPAM-US-Benefits-EI_IE15544.0,4_IL.5,7_IN1.htm"
Collabera,IT Services,"https://www.glassdoor.com/Overview/Working-at-Collabera-EI_IE13754.11,20.htm",https://www.glassdoor.com/Salary/Collabera-Salaries-E13754.htm,"https://www.glassdoor.com/Benefits/Collabera-US-Benefits-EI_IE13754.0,9_IL.10,12_IN1.htm"
Zensar Technologies,IT Services,"https://www.glassdoor.com/Overview/Working-at-Zensar-Technologies-EI_IE255019.11,30.htm",https://www.glassdoor.com/Salary/Zensar-Technologies-Salaries-E255019.htm,"https://www.glassdoor.com/Benefits/Zensar-Technologies-US-Benefits-EI_IE255019.0,19_IL.20,22_IN1.htm"
Acxiom,IT Services,"https://www.glassdoor.com/Overview/Working-at-Acxiom-EI_IE1086.11,17.htm",https://www.glassdoor.com/Salary/Acxiom-Salaries-E1086.htm,"https://www.glassdoor.com/Benefits/Acxiom-US-Benefits-EI_IE1086.0,6_IL.7,9_IN1.htm"
Moogsoft,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Moogsoft-EI_IE885060.11,19.htm",https://www.glassdoor.com/Salary/Moogsoft-Salaries-E885060.htm,"https://www.glassdoor.com/Benefits/Moogsoft-US-Benefits-EI_IE885060.0,8_IL.9,11_IN1.htm"
MSC Software,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-MSC-Software-EI_IE931.11,23.htm",https://www.glassdoor.com/Salary/MSC-Software-Salaries-E931.htm,"https://www.glassdoor.com/Benefits/MSC-Software-US-Benefits-EI_IE931.0,12_IL.13,15_IN1.htm"
Storm8,Video Games,"https://www.glassdoor.com/Overview/Working-at-Storm8-EI_IE435004.11,17.htm",https://www.glassdoor.com/Salary/Storm8-Salaries-E435004.htm,"https://www.glassdoor.com/Benefits/Storm8-US-Benefits-EI_IE435004.0,6_IL.7,9_IN1.htm"
Zoosk,Internet,"https://www.glassdoor.com/Overview/Working-at-Zoosk-EI_IE300505.11,16.htm",https://www.glassdoor.com/Salary/Zoosk-Salaries-E300505.htm,"https://www.glassdoor.com/Benefits/Zoosk-US-Benefits-EI_IE300505.0,5_IL.6,8_IN1.htm"
Indeed,Internet,"https://www.glassdoor.com/Overview/Working-at-Indeed-EI_IE100561.11,17.htm",https://www.glassdoor.com/Salary/Indeed-Salaries-E100561.htm,"https://www.glassdoor.com/Benefits/Indeed-US-Benefits-EI_IE100561.0,6_IL.7,9_IN1.htm"
Rev.com,Internet,"https://www.glassdoor.com/Overview/Working-at-Rev-com-EI_IE802400.11,18.htm",https://www.glassdoor.com/Salary/Rev-com-Salaries-E802400.htm,"https://www.glassdoor.com/Benefits/Rev-com-US-Benefits-EI_IE802400.0,7_IL.8,10_IN1.htm"
Ancestry,Internet,"https://www.glassdoor.com/Overview/Working-at-Ancestry-EI_IE243532.11,19.htm",https://www.glassdoor.com/Salary/Ancestry-Salaries-E243532.htm,"https://www.glassdoor.com/Benefits/Ancestry-US-Benefits-EI_IE243532.0,8_IL.9,11_IN1.htm"
Jive Software,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Jive-Software-EI_IE157126.11,24.htm",https://www.glassdoor.com/Salary/Jive-Software-Salaries-E157126.htm,"https://www.glassdoor.com/Benefits/Jive-Software-US-Benefits-EI_IE157126.0,13_IL.14,16_IN1.htm"
