Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
"Microsoft, Riot Games, Activision Blizzard",1994,"San Mateo, CA",Video Games,PlayStation,,"https://www.glassdoor.com/Overview/Working-at-PlayStation-EI_IE117138.11,22.htm",Sony,$10+ billion (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.playstation.com/en-us
,1994,"San Francisco, CA","Department, Clothing, & Shoe Stores",Old Navy,,"https://www.glassdoor.com/Overview/Working-at-Old-Navy-EI_IE18861.11,19.htm",Gap Inc.,$100 to $500 million (USD) per year,10000+ employees,Subsidiary or Business Segment,www.oldnavy.com
,2001,"Bellevue, WA",Telecommunications Services,T-Mobile,,"https://www.glassdoor.com/Overview/Working-at-T-Mobile-EI_IE9302.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (TMUS),www.tmobile.careers
"Wells Fargo, Chase, Quicken Loans",2002,"Irvine, CA",Banks & Credit Unions,Network Capital,,"https://www.glassdoor.com/Overview/Working-at-Network-Capital-EI_IE691419.11,26.htm",,$50 to $100 million (USD) per year,501 to 1000 employees,Company - Private,www.networkcapital.net
Unknown,1986,"Framingham, MA",Office Supply Stores,Staples,,"https://www.glassdoor.com/Overview/Working-at-Staples-EI_IE1909.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,www.staples.com
,1933,"Modesto, CA",Food & Beverage Manufacturing,E. & J. Gallo Winery,,"https://www.glassdoor.com/Overview/Working-at-E-and-J-Gallo-Winery-EI_IE2778.11,31.htm",,$2 to $5 billion (USD),5001 to 10000 employees,Company - Private,www.gallocareers.com
,2011,"San Francisco, CA",Computer Hardware & Software,Postmates,,"https://www.glassdoor.com/Overview/Working-at-Postmates-EI_IE620298.11,20.htm",,Unknown / Non-Applicable,501 to 1000 employees,Company - Private,www.postmates.com
,1900,"Los Angeles, CA",Membership Organizations,Auto Club of Southern California,,"https://www.glassdoor.com/Overview/Working-at-Auto-Club-of-Southern-California-EI_IE8784.11,43.htm",,$5 to $10 billion (USD) per year,5001 to 10000 employees,Company - Private,www.calif.aaa.com
Unknown,1918,"Clinton, IA",Colleges & Universities,Ashford University,,"https://www.glassdoor.com/Overview/Working-at-Ashford-University-EI_IE241930.11,29.htm",,$25 to $50 million (USD) per year,201 to 500 employees,Company - Private,www.ashford.edu
,2000,"San Bruno, CA",Internet,Walmart eCommerce,,"https://www.glassdoor.com/Overview/Working-at-Walmart-eCommerce-EI_IE29449.11,28.htm",Walmart,$10+ billion (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,careers.walmart.com
,2006,"San Francisco, CA",Internet,Twitter,,"https://www.glassdoor.com/Overview/Working-at-Twitter-EI_IE100569.11,18.htm",,$2 to $5 billion (USD) per year,1001 to 5000 employees,Company - Public (TWTR),www.twitter.com
,1874,"San Francisco, CA",Banks & Credit Unions,Bank of the West,,"https://www.glassdoor.com/Overview/Working-at-Bank-of-the-West-EI_IE3085.11,27.htm",BNP Paribas,$2 to $5 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.bankofthewest.com
,2002,"San Francisco, CA",Computer Hardware & Software,Riverbed Technology,,"https://www.glassdoor.com/Overview/Working-at-Riverbed-Technology-EI_IE34920.11,30.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Private,www.riverbed.com
,1987,"Foster City, CA",Biotech & Pharmaceuticals,Gilead Sciences,,"https://www.glassdoor.com/Overview/Working-at-Gilead-Sciences-EI_IE2016.11,26.htm",,$10+ billion (USD) per year,5001 to 10000 employees,Company - Public (GILD),www.gilead.com
,2007,"San Francisco, CA",Video Games,Zynga,,"https://www.glassdoor.com/Overview/Working-at-Zynga-EI_IE243552.11,16.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Public (ZNGA),www.zynga.com
,1949,"Roseland, NJ",Consulting,ADP,,"https://www.glassdoor.com/Overview/Working-at-ADP-EI_IE64.11,14.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (ADP),jobs.adp.com
"PetSmart, Walmart, Costco Wholesale",1965,"San Diego, CA",Pet & Pet Supplies Stores,Petco,,"https://www.glassdoor.com/Overview/Working-at-Petco-EI_IE37962.11,16.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Private,www.petco.com
,1936,"Pasadena, CA",Federal Agencies,NASA Jet Propulsion Laboratory,,"https://www.glassdoor.com/Overview/Working-at-NASA-Jet-Propulsion-Laboratory-EI_IE116768.11,41.htm",,Unknown / Non-Applicable,5001 to 10000 employees,Nonprofit Organization,www.jpl.nasa.gov
,1995,"Santa Clara, CA",Electrical & Electronic Manufacturing,Marvell Semiconductor,,"https://www.glassdoor.com/Overview/Working-at-Marvell-Semiconductor-EI_IE11761.11,32.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (MRVL),www.marvell.com
AT&T,Unknown,"Overland Park, KS",Telecommunications Services,Sprint,,"https://www.glassdoor.com/Overview/Working-at-Sprint-EI_IE13345.11,17.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (S),www.sprint.com
Unknown,1995,"San Jose, CA",Enterprise Software & Network Solutions,Brocade,,"https://www.glassdoor.com/Overview/Working-at-Brocade-EI_IE9183.11,18.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (BRCD),www.brocade.com
Unknown,1997,"Los Gatos, CA",Internet,Netflix,,"https://www.glassdoor.com/Overview/Working-at-Netflix-EI_IE11891.11,18.htm",,$5 to $10 billion (USD) per year,1001 to 5000 employees,Company - Public (NFLX),www.netflix.com
"Quicken Loans, LendingClub, SoFi",2010,"Foothill Ranch, CA",Lending,loanDepot,,"https://www.glassdoor.com/Overview/Working-at-loanDepot-EI_IE375743.11,20.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Company - Private,www.loandepot.com
,1962,"Irvine, CA",Fast-Food & Quick-Service Restaurants,Taco Bell,,"https://www.glassdoor.com/Overview/Working-at-Taco-Bell-EI_IE10091.11,20.htm",Yum!,$2 to $5 billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.tacobell.com
,1994,"Irvine, CA",Video Games,Blizzard Entertainment,,"https://www.glassdoor.com/Overview/Working-at-Blizzard-Entertainment-EI_IE24858.11,33.htm",Activision Blizzard,$1 to $2 billion (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.blizzard.com
,1952,"Livermore, CA",Federal Agencies,Lawrence Livermore National Laboratory,,"https://www.glassdoor.com/Overview/Working-at-Lawrence-Livermore-National-Laboratory-EI_IE35235.11,49.htm",,$1 to $2 billion (USD) per year,5001 to 10000 employees,Government,www.llnl.gov
"Macy's, Zara, H&M",1977,"Reynoldsburg, OH","Department, Clothing, & Shoe Stores",Victoria's Secret,,"https://www.glassdoor.com/Overview/Working-at-Victoria-s-Secret-EI_IE13903.11,28.htm",L Brands,$5 to $10 billion (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.victoriassecret.com
