Benefits URL,Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/Vivint-Solar-US-Benefits-EI_IE696586.0,12_IL.13,15_IN1.htm",Unknown,2011,"Lehi, UT",Energy,Vivint Solar,,"https://www.glassdoor.com/Overview/Working-at-Vivint-Solar-EI_IE696586.11,23.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/Vivint-Solar-Salaries-E696586.htm,1001 to 5000 employees,Company - Public (VSLR),www.vivintsolar.com
"https://www.glassdoor.com/Benefits/Xactly-Corp-US-Benefits-EI_IE156125.0,11_IL.12,14_IN1.htm",,2005,"San Jose, CA",Computer Hardware & Software,Xactly Corp.,,"https://www.glassdoor.com/Overview/Working-at-Xactly-Corp-EI_IE156125.11,22.htm",Vista Equity Partners,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Xactly-Corp-Salaries-E156125.htm,501 to 1000 employees,Company - Private,www.xactlycorp.com
"https://www.glassdoor.com/Benefits/Jobspring-Partners-US-Benefits-EI_IE308646.0,18_IL.19,21_IN1.htm",Unknown,1989,"Boston, MA",Staffing & Outsourcing,Jobspring Partners,,"https://www.glassdoor.com/Overview/Working-at-Jobspring-Partners-EI_IE308646.11,29.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Jobspring-Partners-Salaries-E308646.htm,51 to 200 employees,Company - Private,www.jobspringpartners.com
"https://www.glassdoor.com/Benefits/Revolution-Prep-US-Benefits-EI_IE244299.0,15_IL.16,18_IN1.htm",Unknown,2002,"Santa Monica, CA",K-12 Education,Revolution Prep,,"https://www.glassdoor.com/Overview/Working-at-Revolution-Prep-EI_IE244299.11,26.htm",,$25 to $50 million (USD) per year,https://www.glassdoor.com/Salary/Revolution-Prep-Salaries-E244299.htm,201 to 500 employees,Company - Private,www.revolutionprep.com
"https://www.glassdoor.com/Benefits/Inter-Con-Security-US-Benefits-EI_IE18557.0,18_IL.19,21_IN1.htm",Unknown,1973,"Pasadena, CA",Security Services,Inter-Con Security,,"https://www.glassdoor.com/Overview/Working-at-Inter-Con-Security-EI_IE18557.11,29.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/Inter-Con-Security-Salaries-E18557.htm,10000+ employees,Company - Private,www.icsecurity.com
"https://www.glassdoor.com/Benefits/Opendoor-US-Benefits-EI_IE1021515.0,8_IL.9,11_IN1.htm",,2014,"San Francisco, CA",Real Estate,Opendoor,,"https://www.glassdoor.com/Overview/Working-at-Opendoor-EI_IE1021515.11,19.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Opendoor-Salaries-E1021515.htm,1001 to 5000 employees,Company - Private,www.opendoor.com
"https://www.glassdoor.com/Benefits/Currency-US-Benefits-EI_IE1261995.0,8_IL.9,11_IN1.htm",,2001,"Los Angeles, CA",Lending,Currency,,"https://www.glassdoor.com/Overview/Working-at-Currency-EI_IE1261995.11,19.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Currency-Salaries-E1261995.htm,51 to 200 employees,Company - Private,www.gocurrency.com
"https://www.glassdoor.com/Benefits/Aerohive-Networks-US-Benefits-EI_IE316581.0,17_IL.18,20_IN1.htm","Aruba Networks, Cisco Systems, Ruckus Networks",2006,"Milpitas, CA",Telecommunications Services,Aerohive Networks,,"https://www.glassdoor.com/Overview/Working-at-Aerohive-Networks-EI_IE316581.11,28.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Aerohive-Networks-Salaries-E316581.htm,501 to 1000 employees,Company - Public (HIVE),www.aerohive.com
"https://www.glassdoor.com/Benefits/GREE-International-Entertainment-US-Benefits-EI_IE477773.0,32_IL.33,35_IN1.htm",Unknown,2011,"San Francisco, CA",Publishing,GREE International Entertainment,,"https://www.glassdoor.com/Overview/Working-at-GREE-International-Entertainment-EI_IE477773.11,43.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/GREE-International-Entertainment-Salaries-E477773.htm,201 to 500 employees,Subsidiary or Business Segment,www.gree.net
"https://www.glassdoor.com/Benefits/AltaMed-US-Benefits-EI_IE253513.0,7_IL.8,10_IN1.htm",,1969,"Commerce, CA",Health Care Services & Hospitals,AltaMed,,"https://www.glassdoor.com/Overview/Working-at-AltaMed-EI_IE253513.11,18.htm",,$5 to $10 million (USD) per year,https://www.glassdoor.com/Salary/AltaMed-Salaries-E253513.htm,1001 to 5000 employees,Nonprofit Organization,www.altamed.org
